APE code,Barcode,Name,Product Type,Can be Sold,Can be Purchased,COST excl GST,AP DISCOUNT %,MARK UP%,Description,Invoicing Policy,Control Purchase Bills,Vendors/ID,Vendors/Price,Routes/ID,Internal Category/ID,Purchase Unit of Measure/ID,Unit of Measure/ID,Attributes/Attribute/ID,Attributes/Value,SALE TOTAL P/S ex GST/DEL/Other,Length,Width (or OD),Thickness (or ID),Wall Thickness,Form,Color Code,Warranty,Customer Lead Time,Manufacturing Lead Time,Income Account,Expense Account,Price Difference Account
1100026,PX30520303FLBL,Perspex Fluroo 3mm Neptune Blue (7T97) 3050x2030x3 mm,Perspex,1.00,1.00,383.77,,,,,,11,383.77,,,Sheet,Each,Thickness,3 mm,595.00,3050.00,2030.00,3.00,,Sheet,Neptune Blue,,,,,,
1100027,,Perspex Fluroo 3mm Neptune Blue (7T97) 2030x1525x3 mm,Perspex,1.00,1.00,201.48,,,,,,11,201.48,,,Sheet,Each,Thickness,3 mm,336.00,2030.00,1525.00,3.00,,Sheet,Neptune Blue,,,,,,
1100022,PX30520303FLLO,Perspex Fluroo 3mm Lava Orange (3T19) 3050x2030x3 mm,Perspex,1.00,1.00,383.77,,,,,,11,383.77,,,Sheet,Each,Thickness,3 mm,595.00,3050.00,2030.00,3.00,,Sheet,Lava Orange,,,,,,
1100023,,Perspex Fluroo 3mm Lava Orange (3T19) 2030x1525x3 mm,Perspex,1.00,1.00,201.48,,,,,,11,201.48,,,Sheet,Each,Thickness,3 mm,336.00,2030.00,1525.00,3.00,,Sheet,Lava Orange,,,,,,
1100024,PX30520303FLMR,Perspex Fluroo 3mm Mars Red (4T56) 3050x2030x3 mm,Perspex,1.00,1.00,383.77,,,,,,11,383.77,,,Sheet,Each,Thickness,3 mm,595.00,3050.00,2030.00,3.00,,Sheet,Mars Red,,,,,,
1100025,,Perspex Fluroo 3mm Mars Red (4T56) 2030x1525x3 mm,Perspex,1.00,1.00,201.48,,,,,,11,201.48,,,Sheet,Each,Thickness,3 mm,336.00,2030.00,1525.00,3.00,,Sheet,Mars Red,,,,,,
1100020,PX30520303FLSY,Perspex Fluroo 3mm Helios Yellow/ Solar Yellow (2T51) 3050x2030x3 mm,Perspex,1.00,1.00,383.77,,,,,,11,383.77,,,Sheet,Each,Thickness,3 mm,595.00,3050.00,2030.00,3.00,,Sheet,Helios Yellow/Solar Yellow,,,,,,
1100021,,Perspex Fluroo 3mm Helios Yellow/ Solar Yellow (2T51) 2030x1525x3 mm,Perspex,1.00,1.00,201.48,,,,,,11,201.48,,,Sheet,Each,Thickness,3 mm,336.00,2030.00,1525.00,3.00,,Sheet,Helios Yellow/Solar Yellow,,,,,,
1100048,PX30520303FRAB,Perspex Frost 3mm Azure Blue (S2 7T1F) 3050x2030x3 mm,Perspex,1.00,1.00,377.75,,,,,,11,377.75,,,Sheet,Each,Thickness,3 mm,580.00,3050.00,2030.00,3.00,,Sheet,Azure Blue,,,,,,
1100049,,Perspex Frost 3mm Azure Blue (S2 7T1F) 2030x1525x3 mm,Perspex,1.00,1.00,198.32,,,,,,11,198.32,,,Sheet,Each,Thickness,3 mm,330.00,2030.00,1525.00,3.00,,Sheet,Azure Blue,,,,,,
