"APE Code","Barcode","Name","Product Type","Can be Sold","Can be Purchased","COST excl GST","AP DISCOUNT %","MARK UP%","Description","Invoicing Policy","Control Purchase Bills","Vendors/ID","Vendors/Price","Routes/ID","Internal Category/ID","Purchase Unit of Measure/ID","Unit of Measure/ID","Attributes/Attribute/ID","Attributes/Value","SALE TOTAL P/S ex GST/DEL/Other","Length","Width (or OD)","Thickness (or ID)","Wall Thickness","Form","Color Code","Warranty","Customer Lead Time","Manufacturing Lead Time","Income Account","Expense Account","Price Difference Account"
1200059,"ATM006.4","Acrylic Tube","Tube Extruded",1,1,7.8,,,,,,12,7.8,,,"Tube","Each",,,15.6,2000,6.5,4,1.3,"Tube","Clear",,,,,,
1200060,"ATM007.5","Acrylic Tube","Tube Extruded",1,1,7.41,,,,,,12,7.41,,,"Tube","Each",,,14.8,2000,7,5,1,"Tube","Clear",,,,,,
1200061,"ATM008.4","Acrylic Tube","Tube Extruded",1,1,11.78,,,,,,12,11.78,,,"Tube","Each",,,21.8,2000,8,4,2,"Tube","Clear",,,,,,
1200062,"ATM010.7","Acrylic Tube","Tube Extruded",1,1,8.07,,,,,,12,8.07,,,"Tube","Each",,,16.2,2000,10,7,1.5,"Tube","Clear",,,,,,
1200063,"ATM010.6","Acrylic Tube","Tube Extruded",1,1,10.26,,,,,,12,10.26,,,"Tube","Each",,,20.5,2000,10,6,2,"Tube","Clear",,,,,,
1200064,"ATM010.4","Acrylic Tube","Tube Extruded",1,1,23.48,,,,,,12,23.48,,,"Tube","Each",,,39.9,2000,10,4,3,"Tube","Clear",,,,,,
1200065,"ATM012.10","Acrylic Tube","Tube Extruded",1,1,8.97,,,,,,12,8.97,,,"Tube","Each",,,18,2000,12,10,1,"Tube","Clear",,,,,,
1200066,"ATM012.8","Acrylic Tube","Tube Extruded",1,1,9.32,,,,,,12,9.32,,,"Tube","Each",,,18.7,2000,12,8,2,"Tube","Clear",,,,,,
1200067,"ATM012.6","Acrylic Tube","Tube Extruded",1,1,14.92,,,,,,12,14.92,,,"Tube","Each",,,28.4,2000,12,6,3,"Tube","Clear",,,,,,
1200068,"ATM013.9","Acrylic Tube","Tube Extruded",1,1,12.73,,,,,,12,12.73,,,"Tube","Each",,,24.2,2000,13,9,2,"Tube","Clear",,,,,,
1200069,"ATM015.13","Acrylic Tube","Tube Extruded",1,1,9.59,,,,,,12,9.59,,,"Tube","Each",,,19.2,2000,15,13,1,"Tube","Clear",,,,,,
1200070,"ATM015.11","Acrylic Tube","Tube Extruded",1,1,14.25,,,,,,12,14.25,,,"Tube","Each",,,25,2000,15,11,2,"Tube","Clear",,,,,,
1200071,"ATM016.12","Acrylic Tube","Tube Extruded",1,1,15.87,,,,,,12,15.87,,,"Tube","Each",,,29.4,2000,16,12,2,"Tube","Clear",,,,,,
1200072,"ATM020.16","Acrylic Tube","Tube Extruded",1,1,19.87,,,,,,12,19.87,,,"Tube","Each",,,33.8,2000,20,16,2,"Tube","Clear",,,,,,
1200073,"ATM020.14","Acrylic Tube","Tube Extruded",1,1,27.65,,,,,,12,27.65,,,"Tube","Each",,,45.6,2000,20,14,3,"Tube","Clear",,,,,,
1200074,"ATM025.21","Acrylic Tube","Tube Extruded",1,1,25.86,,,,,,12,25.86,,,"Tube","Each",,,42.7,2000,25,21,2,"Tube","Clear",,,,,,
1200075,"ATM025.19","Acrylic Tube","Tube Extruded",1,1,33.56,,,,,,12,33.56,,,"Tube","Each",,,55.4,2000,25,19,3,"Tube","Clear",,,,,,
1200076,"ATM030.26","Acrylic Tube","Tube Extruded",1,1,24.82,,,,,,12,24.82,,,"Tube","Each",,,41,2000,30,26,2,"Tube","Clear",,,,,,
1200077,"ATM030.24","Acrylic Tube","Tube Extruded",1,1,31.08,,,,,,12,31.08,,,"Tube","Each",,,51.3,2000,30,24,3,"Tube","Clear",,,,,,
1200078,"ATM030.22","Acrylic Tube","Tube Extruded",1,1,42.45,,,,,,12,42.45,,,"Tube","Each",,,70,2000,30,22,4,"Tube","Clear",,,,,,
1200079,"ATM030.20","Acrylic Tube","Tube Extruded",1,1,50.8,,,,,,12,50.8,,,"Tube","Each",,,83.8,2000,30,20,5,"Tube","Clear",,,,,,
1200080,"ATM038.32","Acrylic Tube","Tube Extruded",1,1,40.38,,,,,,12,40.38,,,"Tube","Each",,,66.6,2000,38,32,3,"Tube","Clear",,,,,,
1200081,"ATM040.32","Acrylic Tube","Tube Extruded",1,1,56.69,,,,,,12,56.69,,,"Tube","Each",,,93.4,2000,40,32,4,"Tube","Clear",,,,,,
1200082,"ATM040.36","Acrylic Tube","Tube Extruded",1,1,33.48,,,,,,12,33.48,,,"Tube","Each",,,55.3,2000,40,36,2,"Tube","Clear",,,,,,
1200083,"ATM040.34","Acrylic Tube","Tube Extruded",1,1,41.34,,,,,,12,41.34,,,"Tube","Each",,,68.2,2000,40,34,3,"Tube","Clear",,,,,,
1200084,"ATM040.30","Acrylic Tube","Tube Extruded",1,1,59.4,,,,,,12,59.4,,,"Tube","Each",,,98,2000,40,30,5,"Tube","Clear",,,,,,
