"APE code","Barcode"," 4L'","Product Type","Can be Sold","Can be Purchased","COST excl GST","AP DISCOUNT %","MARK UP%","Description","Invoicing Policy","Control Purchase Bills","Vendors/ID","Vendors/Price","Routes/ID","Internal Category/ID","Purchase Unit of Measure/ID","Unit of Measure/ID","Attributes/Attribute/ID","Attributes/Value","SALE TOTAL P/S ex GST/DEL/Other","Length","Width (or OD)","Thickness (or ID)","Wall Thickness","Form","Color Code","Warranty","Customer Lead Time","Manufacturing Lead Time","Income Account","Expense Account","Price Difference Account"
3200072,,"'Acri-Bond Adhesive #120  500ml'","Adhesive",1,1,188.4,,,,,,32,88.4,,,"Each","Each",,,,176.8,,,,"Each","na ",,,,,,
3200001,,"Plywood - 2400x1200x12T ","Timber",1,1,119.17,,,,,,32,119.17,,,"Sheet","Each",,,202.59,2400,1200,12,,"Sheet","na ",,,,,,
3200002,,"Plywood - 2400x1200x15T ","Timber",1,1,129.6,,,,,,32,129.6,,,"Sheet","Each",,,220.32,2400,1200,15,,"Sheet","na ",,,,,,
3200066,,"'Acri-Bond Adhesive #105  4L'","Adhesive",1,1,1124,,,,,,32,124,,,"Each","Each",,,,248,,,,"Each","na ",,,,,,
3200003,,"Plywood - 2400x1200x19T ","Timber",1,1,211.2,,,,,,32,211.2,,,"Sheet","Each",,,359.04,2400,1200,19,,"Sheet","na ",,,,,,
3200148,,"Seaboard - 2440x1220x6T ","Polyethylene",1,1,250.17,,,,,,32,250.17,,,"Sheet","Each",,,500.34,2440,1220,6,,"Sheet","na ",,,,,,
3200075,,"'Acryfix Adhesive #190  1L'","Adhesive",1,1,1300,,,,,,32,300,,,"Each","Each",,,,600,,,,"Each","na ",,,,,,
3200147,,"Seaboard - 2440x1220x10T ","Polyethylene",1,1,386.11,,,,,,32,386.11,,,"Sheet","Each",,,772.22,2440,1220,10,,"Sheet","na ",,,,,,
3200069,,"'Acri-Bond Adhesive #110  4L'","Adhesive",1,1,1390,,,,,,32,390,,,"Each","Each",,,,780,,,,"Each","na ",,,,,,
3200073,,"'Acri-Bond Adhesive #125  4L'","Adhesive",1,1,1408.2,,,,,,32,408.2,,,"Each","Each",,,,816.4,,,,"Each","na ",,,,,,
3200017,,"Seaboard - 2440x1220x12T ","Polyethylene",1,1,555.56,,,,,,32,555.56,,,"Sheet","Each",,,944.45,2440,1220,12,,"Sheet","na ",,,,,,
3200071,,"'Acri-Bond Adhesive #120  4L'","Adhesive",1,1,1480,,,,,,32,480,,,"Each","Each",,,,960,,,,"Each","na ",,,,,,
3200018,,"Seaboard - 2440x1220x15T ","Polyethylene",1,1,625,,,,,,32,625,,,"Sheet","Each",,,1062.5,2440,1220,15,,"Sheet","na ",,,,,,
3200019,,"Seaboard - 2440x1220x19T ","Polyethylene",1,1,736.11,,,,,,32,736.11,,,"Sheet","Each",,,1251.39,2440,1220,19,,"Sheet","na ",,,,,,
3200020,,"Seaboard - 2440x1220x25T ","Polyethylene",1,1,11380.89,,,,,,32,1138.89,,,"Sheet","Each",,,1936.11,2440,1220,25,,"Sheet","na ",,,,,,
